reaction,rba,pfba,weighted pfba
ACACT1r,0.5998796224594116,18.895663360522526,50.31991748723984
ACACT2r,0.5998796224594116,18.895663360522676,50.31991709552596
ACACT3r,0.5998796224594116,18.89566336052278,50.31991725527572
ACACT4r,0.600208044052124,18.89283045684063,50.3199171484734
ACACT5r,0.6015849113464355,18.891778265795054,50.319917564152526
ACACT6r,0.6029677391052246,18.890764754522444,50.31991720599921
ACACT7r,0.6067115068435669,18.887335590977223,50.44961146668816
ACACT8r,0.6086182594299316,18.88576194752267,50.40863419063365
ACALD,0.6086182594299316,18.88547240179531,50.31991767982669
ACKr,0.6085842847824097,18.920507226233838,50.33246621549271
ACOAD1f,0.5998796224594116,18.895663360522548,50.319917581521004
ACOAD2f,0.5998796224594116,18.895663360522718,50.31991752208171
ACOAD3f,0.5998796224594116,18.895663360522523,50.31991748665699
ACOAD4f,0.600208044052124,18.892830456840706,50.31991711611614
ACOAD5f,0.6015849113464355,18.891778265795118,50.31991714118345
ACOAD6f,0.6058406829833984,18.888106424749964,50.319917608612954
ACOAD7f,0.6077414751052856,18.886484245795167,50.324772108805625
ACOATA,0.6086182594299316,18.885472401795433,50.33254224434015
ADK1,0.6057780981063843,18.88800715079525,50.31991763476793
ADK3,0.6086182594299316,18.88547240179537,50.32969056923884
ALATA_L,0.606151819229126,18.886021646795268,50.31991746826221
ARBt2rpp,0.6086182594299316,18.885472401795415,50.319917451835714
ARGAGMt7pp,0.6086182594299316,18.8854724017953,50.31991713507868
ASPt2pp_copy2,0.6086182594299316,18.88547240179543,50.31991751188449
ATPS4rpp,0.4722404479980469,34.20547017666613,152.6513126881509
CBMKr,0.5956834554672241,18.8925443319773,51.35795629146657
CO2tpp,0.5946499109268188,20.148872426649945,50.334213819478606
CRNDt2rpp,0.6086182594299316,18.88547240179543,50.31991770097253
CTECOAI6,0.6086182594299316,18.885472401795333,50.31991762062431
CTECOAI7,0.6075853109359741,18.886034201249927,50.468186179067374
CTECOAI8,0.6086182594299316,18.885761947522546,50.4662857118131
CYTK1,0.5993705987930298,18.888822713159026,50.4863148861216
CYTK2,0.6086182594299316,18.885472401795372,50.31991725477185
DADK,0.6086182594299316,18.885472401795273,50.3199172268674
DGK1,0.6086182594299316,18.885472401795408,50.31991721871401
DURIPP,0.6086182594299316,18.88547240179534,50.31991757305248
ECOAH1,0.5998796224594116,18.8956633605224,50.319917440636296
ECOAH2,0.5998796224594116,18.89566336052264,50.319917626691655
ECOAH3,0.5998796224594116,18.89566336052246,50.319917617240556
ECOAH4,0.600208044052124,18.892830456840706,50.31991742218313
ECOAH5,0.6015849113464355,18.891778265795118,50.3199174621912
ECOAH6,0.6029677391052246,18.890764754522515,50.3199174298892
ECOAH7,0.6067115068435669,18.887335590977223,50.44961125212288
ECOAH8,0.6086182594299316,18.88576194752274,50.40863409807666
ENO,0.41160523891448975,20.590508232929356,52.27366681255755
F6PA,0.6086182594299316,19.059187446478653,50.31991759782856
FBA,0.595848560333252,18.88948079238628,51.41407360353745
FUM,0.5937755107879639,18.913694385606103,50.33285059301168
GAPD,0.3531080484390259,21.170001047740698,52.33657445820684
GARFT,0.6071120500564575,18.887551403454363,50.398650310272274
GHMT2r,0.5854499340057373,18.91074435645439,50.39990789879636
GLUDy,0.4486948251724243,18.933972686363525,50.663386409745385
GLUt2rpp,0.6086182594299316,18.88547240179542,50.319917440824206
GLYAT,0.6086182594299316,18.885472401795408,50.75108049676467
GLYCtpp,0.6086182594299316,18.885490477613416,50.32009929522565
H2Otpp,0.39198577404022217,22.636573869166412,124.33180500291878
